date,value
2015-07-01 12:00:00,5250.0
2015-07-01 13:00:00,4847.0
2015-07-01 14:00:00,4593.0
2015-07-01 15:00:00,4473.0
2015-07-01 16:00:00,4512.0
2015-07-01 17:00:00,4370.0
2015-07-01 18:00:00,4028.0
2015-07-01 19:00:00,3647.0
2015-07-01 20:00:00,3298.0
2015-07-01 21:00:00,3045.0
2015-07-01 22:00:00,2892.0
2015-07-01 23:00:00,2787.0
2015-07-02 00:00:00,2790.0
2015-07-02 01:00:00,2899.0
2015-07-02 02:00:00,3097.0
2015-07-02 03:00:00,3403.0
2015-07-02 04:00:00,3732.0
2015-07-02 05:00:00,3964.0
2015-07-02 06:00:00,4159.0
2015-07-02 07:00:00,4427.0
2015-07-02 08:00:00,4581.0
2015-07-02 09:00:00,4649.0
2015-07-02 10:00:00,4730.0
2015-07-02 11:00:00,4829.0
2015-07-02 12:00:00,4709.0
2015-07-02 13:00:00,4532.0
2015-07-02 14:00:00,4332.0
2015-07-02 15:00:00,4159.0
2015-07-02 16:00:00,4149.0
2015-07-02 17:00:00,4036.0
2015-07-02 18:00:00,3772.0
2015-07-02 19:00:00,3448.0
2015-07-02 20:00:00,3141.0
2015-07-02 21:00:00,2935.0
2015-07-02 22:00:00,2802.0
2015-07-02 23:00:00,2704.0
2015-07-03 00:00:00,2700.0
2015-07-03 01:00:00,2820.0
2015-07-03 02:00:00,3041.0
2015-07-03 03:00:00,3368.0
2015-07-03 04:00:00,3653.0
2015-07-03 05:00:00,3863.0
2015-07-03 06:00:00,4107.0
2015-07-03 07:00:00,4373.0
2015-07-03 08:00:00,4564.0
2015-07-03 09:00:00,4749.0
2015-07-03 10:00:00,4878.0
2015-07-03 11:00:00,4968.0
2015-07-03 12:00:00,5012.0
2015-07-03 13:00:00,4898.0
2015-07-03 14:00:00,4634.0
2015-07-03 15:00:00,4354.0
2015-07-03 16:00:00,4255.0
2015-07-03 17:00:00,4102.0
2015-07-03 18:00:00,3766.0
2015-07-03 19:00:00,3428.0
2015-07-03 20:00:00,3112.0
2015-07-03 21:00:00,2886.0
2015-07-03 22:00:00,2709.0
2015-07-03 23:00:00,2606.0
2015-07-04 00:00:00,2581.0
2015-07-04 01:00:00,2600.0
2015-07-04 02:00:00,2655.0
2015-07-04 03:00:00,2827.0
2015-07-04 04:00:00,3076.0
2015-07-04 05:00:00,3341.0
2015-07-04 06:00:00,3592.0
2015-07-04 07:00:00,3804.0
2015-07-04 08:00:00,3986.0
2015-07-04 09:00:00,4163.0
2015-07-04 10:00:00,4318.0
2015-07-04 11:00:00,4426.0
2015-07-04 12:00:00,4488.0
2015-07-04 13:00:00,4452.0
2015-07-04 14:00:00,4262.0
2015-07-04 15:00:00,4004.0
2015-07-04 16:00:00,3906.0
2015-07-04 17:00:00,3766.0
2015-07-04 18:00:00,3498.0
2015-07-04 19:00:00,3214.0
2015-07-04 20:00:00,2936.0
2015-07-04 21:00:00,2730.0
2015-07-04 22:00:00,2574.0
2015-07-04 23:00:00,2491.0
2015-07-05 00:00:00,2448.0
2015-07-05 01:00:00,2430.0
2015-07-05 02:00:00,2404.0
2015-07-05 03:00:00,2496.0
2015-07-05 04:00:00,2684.0
2015-07-05 05:00:00,2904.0
2015-07-05 06:00:00,3130.0
2015-07-05 07:00:00,3320.0
2015-07-05 08:00:00,3486.0
2015-07-05 09:00:00,3604.0
2015-07-05 10:00:00,3701.0
2015-07-05 11:00:00,3739.0
2015-07-05 12:00:00,3748.0
2015-07-05 13:00:00,3709.0
2015-07-05 14:00:00,3550.0
2015-07-05 15:00:00,3363.0
2015-07-05 16:00:00,3325.0
2015-07-05 17:00:00,3232.0
2015-07-05 18:00:00,3119.0
2015-07-05 19:00:00,2961.0
2015-07-05 20:00:00,2745.0
2015-07-05 21:00:00,2580.0
2015-07-05 22:00:00,2469.0
2015-07-05 23:00:00,2397.0
2015-07-06 00:00:00,2371.0
2015-07-06 01:00:00,2377.0
2015-07-06 02:00:00,2346.0
2015-07-06 03:00:00,2402.0
2015-07-06 04:00:00,2535.0
2015-07-06 05:00:00,2692.0
2015-07-06 06:00:00,2830.0
2015-07-06 07:00:00,2961.0
2015-07-06 08:00:00,3095.0
2015-07-06 09:00:00,3228.0
2015-07-06 10:00:00,3371.0
2015-07-06 11:00:00,3494.0
2015-07-06 12:00:00,3544.0
2015-07-06 13:00:00,3547.0
2015-07-06 14:00:00,3476.0
2015-07-06 15:00:00,3366.0
