date,value
2015-07-01 12:00:00,2992.0
2015-07-01 13:00:00,2883.0
2015-07-01 14:00:00,2764.0
2015-07-01 15:00:00,2541.0
2015-07-01 16:00:00,2294.0
2015-07-01 17:00:00,2078.0
2015-07-01 18:00:00,1930.0
2015-07-01 19:00:00,1819.0
2015-07-01 20:00:00,1756.0
2015-07-01 21:00:00,1737.0
2015-07-01 22:00:00,1801.0
2015-07-01 23:00:00,1905.0
2015-07-02 00:00:00,2017.0
2015-07-02 01:00:00,2222.0
2015-07-02 02:00:00,2470.0
2015-07-02 03:00:00,2712.0
2015-07-02 04:00:00,2897.0
2015-07-02 05:00:00,3021.0
2015-07-02 06:00:00,3109.0
2015-07-02 07:00:00,3171.0
2015-07-02 08:00:00,3219.0
2015-07-02 09:00:00,3271.0
2015-07-02 10:00:00,3247.0
2015-07-02 11:00:00,3156.0
2015-07-02 12:00:00,3037.0
2015-07-02 13:00:00,2920.0
2015-07-02 14:00:00,2760.0
2015-07-02 15:00:00,2496.0
2015-07-02 16:00:00,2239.0
2015-07-02 17:00:00,2015.0
2015-07-02 18:00:00,1870.0
2015-07-02 19:00:00,1754.0
2015-07-02 20:00:00,1701.0
2015-07-02 21:00:00,1671.0
2015-07-02 22:00:00,1738.0
2015-07-02 23:00:00,1832.0
2015-07-03 00:00:00,1947.0
2015-07-03 01:00:00,2156.0
2015-07-03 02:00:00,2396.0
2015-07-03 03:00:00,2640.0
2015-07-03 04:00:00,2857.0
2015-07-03 05:00:00,3042.0
2015-07-03 06:00:00,3135.0
2015-07-03 07:00:00,3168.0
2015-07-03 08:00:00,3031.0
2015-07-03 09:00:00,2805.0
2015-07-03 10:00:00,2736.0
2015-07-03 11:00:00,2662.0
2015-07-03 12:00:00,2558.0
2015-07-03 13:00:00,2497.0
2015-07-03 14:00:00,2427.0
2015-07-03 15:00:00,2246.0
2015-07-03 16:00:00,2055.0
2015-07-03 17:00:00,1879.0
2015-07-03 18:00:00,1747.0
2015-07-03 19:00:00,1656.0
2015-07-03 20:00:00,1603.0
2015-07-03 21:00:00,1580.0
2015-07-03 22:00:00,1622.0
2015-07-03 23:00:00,1671.0
2015-07-04 00:00:00,1749.0
2015-07-04 01:00:00,1968.0
2015-07-04 02:00:00,2241.0
2015-07-04 03:00:00,2489.0
2015-07-04 04:00:00,2711.0
2015-07-04 05:00:00,2877.0
2015-07-04 06:00:00,3003.0
2015-07-04 07:00:00,3108.0
2015-07-04 08:00:00,3153.0
2015-07-04 09:00:00,3107.0
2015-07-04 10:00:00,3022.0
2015-07-04 11:00:00,2875.0
2015-07-04 12:00:00,2663.0
2015-07-04 13:00:00,2538.0
2015-07-04 14:00:00,2424.0
2015-07-04 15:00:00,2272.0
2015-07-04 16:00:00,2088.0
2015-07-04 17:00:00,1910.0
2015-07-04 18:00:00,1771.0
2015-07-04 19:00:00,1672.0
2015-07-04 20:00:00,1609.0
2015-07-04 21:00:00,1573.0
2015-07-04 22:00:00,1569.0
2015-07-04 23:00:00,1588.0
2015-07-05 00:00:00,1635.0
2015-07-05 01:00:00,1798.0
2015-07-05 02:00:00,2063.0
2015-07-05 03:00:00,2349.0
2015-07-05 04:00:00,2593.0
2015-07-05 05:00:00,2764.0
2015-07-05 06:00:00,2892.0
2015-07-05 07:00:00,2945.0
2015-07-05 08:00:00,2970.0
2015-07-05 09:00:00,2863.0
2015-07-05 10:00:00,2787.0
2015-07-05 11:00:00,2617.0
2015-07-05 12:00:00,2467.0
2015-07-05 13:00:00,2373.0
2015-07-05 14:00:00,2258.0
2015-07-05 15:00:00,2187.0
2015-07-05 16:00:00,2065.0
2015-07-05 17:00:00,1917.0
2015-07-05 18:00:00,1787.0
2015-07-05 19:00:00,1696.0
2015-07-05 20:00:00,1628.0
2015-07-05 21:00:00,1600.0
2015-07-05 22:00:00,1612.0
2015-07-05 23:00:00,1626.0
2015-07-06 00:00:00,1671.0
2015-07-06 01:00:00,1894.0
2015-07-06 02:00:00,2174.0
2015-07-06 03:00:00,2429.0
2015-07-06 04:00:00,2647.0
2015-07-06 05:00:00,2821.0
2015-07-06 06:00:00,2958.0
2015-07-06 07:00:00,3053.0
2015-07-06 08:00:00,3070.0
2015-07-06 09:00:00,3071.0
2015-07-06 10:00:00,2916.0
2015-07-06 11:00:00,2619.0
2015-07-06 12:00:00,2473.0
2015-07-06 13:00:00,2400.0
2015-07-06 14:00:00,2317.0
2015-07-06 15:00:00,2153.0
2015-07-06 16:00:00,1955.0
2015-07-06 17:00:00,1758.0
2015-07-06 18:00:00,1667.0
2015-07-06 19:00:00,1577.0
2015-07-06 20:00:00,1539.0
2015-07-06 21:00:00,1526.0
2015-07-06 22:00:00,1615.0
2015-07-06 23:00:00,1727.0
2015-07-07 00:00:00,1856.0
2015-07-07 01:00:00,2033.0
2015-07-07 02:00:00,2244.0
2015-07-07 03:00:00,2480.0
2015-07-07 04:00:00,2699.0
2015-07-07 05:00:00,2886.0
2015-07-07 06:00:00,3049.0
2015-07-07 07:00:00,3156.0
2015-07-07 08:00:00,3179.0
2015-07-07 09:00:00,3122.0
2015-07-07 10:00:00,2943.0
2015-07-07 11:00:00,2743.0
2015-07-07 12:00:00,2613.0
2015-07-07 13:00:00,2531.0
2015-07-07 14:00:00,2411.0
2015-07-07 15:00:00,2202.0
2015-07-07 16:00:00,2011.0
2015-07-07 17:00:00,1819.0
2015-07-07 18:00:00,1690.0
2015-07-07 19:00:00,1609.0
2015-07-07 20:00:00,1569.0
2015-07-07 21:00:00,1561.0
2015-07-07 22:00:00,1641.0
2015-07-07 23:00:00,1770.0
2015-07-08 00:00:00,1891.0
2015-07-08 01:00:00,2060.0
2015-07-08 02:00:00,2293.0
2015-07-08 03:00:00,2532.0
2015-07-08 04:00:00,2740.0
2015-07-08 05:00:00,2880.0
2015-07-08 06:00:00,2931.0
2015-07-08 07:00:00,2867.0
2015-07-08 08:00:00,2758.0
2015-07-08 09:00:00,2670.0
2015-07-08 10:00:00,2571.0
2015-07-08 11:00:00,2476.0
2015-07-08 12:00:00,2388.0
2015-07-08 13:00:00,2356.0
2015-07-08 14:00:00,2305.0
2015-07-08 15:00:00,2135.0
2015-07-08 16:00:00,1950.0
2015-07-08 17:00:00,1761.0
2015-07-08 18:00:00,1643.0
2015-07-08 19:00:00,1568.0
2015-07-08 20:00:00,1524.0
2015-07-08 21:00:00,1528.0
2015-07-08 22:00:00,1605.0
2015-07-08 23:00:00,1730.0
2015-07-09 00:00:00,1865.0
2015-07-09 01:00:00,2071.0
2015-07-09 02:00:00,2296.0
2015-07-09 03:00:00,2509.0
2015-07-09 04:00:00,2720.0
2015-07-09 05:00:00,2893.0
2015-07-09 06:00:00,3029.0
2015-07-09 07:00:00,3108.0
2015-07-09 08:00:00,3210.0
2015-07-09 09:00:00,3254.0
2015-07-09 10:00:00,3207.0
2015-07-09 11:00:00,3092.0
2015-07-09 12:00:00,2907.0
2015-07-09 13:00:00,2773.0
2015-07-09 14:00:00,2661.0
2015-07-09 15:00:00,2432.0
2015-07-09 16:00:00,2200.0
2015-07-09 17:00:00,1990.0
2015-07-09 18:00:00,1852.0
2015-07-09 19:00:00,1754.0
2015-07-09 20:00:00,1696.0
2015-07-09 21:00:00,1694.0
2015-07-09 22:00:00,1763.0
2015-07-09 23:00:00,1882.0
