date,value
2015-07-01 12:00:00,105123.0
2015-07-01 13:00:00,102415.0
2015-07-01 14:00:00,100609.0
2015-07-01 15:00:00,95599.0
2015-07-01 16:00:00,89216.0
2015-07-01 17:00:00,83944.0
2015-07-01 18:00:00,80091.0
2015-07-01 19:00:00,77994.0
2015-07-01 20:00:00,76820.0
2015-07-01 21:00:00,76268.0
2015-07-01 22:00:00,79049.0
2015-07-01 23:00:00,82202.0
2015-07-02 00:00:00,85000.0
2015-07-02 01:00:00,88002.0
2015-07-02 02:00:00,90996.0
2015-07-02 03:00:00,95479.0
2015-07-02 04:00:00,98933.0
2015-07-02 05:00:00,102025.0
2015-07-02 06:00:00,105373.0
2015-07-02 07:00:00,107497.0
2015-07-02 08:00:00,108858.0
2015-07-02 09:00:00,110553.0
2015-07-02 10:00:00,110206.0
2015-07-02 11:00:00,108167.0
2015-07-02 12:00:00,104340.0
2015-07-02 13:00:00,100959.0
2015-07-02 14:00:00,99746.0
2015-07-02 15:00:00,95179.0
2015-07-02 16:00:00,89613.0
2015-07-02 17:00:00,82864.0
2015-07-02 18:00:00,79139.0
2015-07-02 19:00:00,76375.0
2015-07-02 20:00:00,75557.0
2015-07-02 21:00:00,75423.0
2015-07-02 22:00:00,76847.0
2015-07-02 23:00:00,79578.0
2015-07-03 00:00:00,82349.0
2015-07-03 01:00:00,86403.0
2015-07-03 02:00:00,90079.0
2015-07-03 03:00:00,93685.0
2015-07-03 04:00:00,95847.0
2015-07-03 05:00:00,97633.0
2015-07-03 06:00:00,99145.0
2015-07-03 07:00:00,99420.0
2015-07-03 08:00:00,99526.0
2015-07-03 09:00:00,98845.0
2015-07-03 10:00:00,98491.0
2015-07-03 11:00:00,96738.0
2015-07-03 12:00:00,93718.0
2015-07-03 13:00:00,91410.0
2015-07-03 14:00:00,90806.0
2015-07-03 15:00:00,86594.0
2015-07-03 16:00:00,81458.0
2015-07-03 17:00:00,76980.0
2015-07-03 18:00:00,75107.0
2015-07-03 19:00:00,72794.0
2015-07-03 20:00:00,71093.0
2015-07-03 21:00:00,70670.0
2015-07-03 22:00:00,70659.0
2015-07-03 23:00:00,71115.0
2015-07-04 00:00:00,72074.0
2015-07-04 01:00:00,75711.0
2015-07-04 02:00:00,80631.0
2015-07-04 03:00:00,83567.0
2015-07-04 04:00:00,86706.0
2015-07-04 05:00:00,89772.0
2015-07-04 06:00:00,91820.0
2015-07-04 07:00:00,94001.0
2015-07-04 08:00:00,95807.0
2015-07-04 09:00:00,96683.0
2015-07-04 10:00:00,96405.0
2015-07-04 11:00:00,93776.0
